0	0	10831	0.7786901192468328
1	10831	28543	0.9751150172665175
2	28543	28551	0.4380952380952381
3	28551	31217	0.6995379712966414
4	31217	34118	0.7001129795681891
5	34118	49395	0.9540129341213601
6	49395	50731	0.6911590126221693
7	50731	66206	0.9733050869934295
8	66206	74712	0.789831477054552
9	74712	92732	0.942404635970981
10	92732	93360	0.6474411180540621
11	93360	98295	0.5156936768161282
12	98295	114422	0.9541680487262042
13	114422	114480	0.5897134800451469
14	114480	119992	0.6991380666029039
15	119992	135419	0.7919899080974222
16	135419	138042	0.6702518693140139
17	138042	150541	0.7348284520464998
final AUPRC	0.7522310363337934
