0	0	46	0.480571544573932
1	46	21720	0.84674642543448
2	21720	29832	0.7237882685371286
3	29832	40134	0.6477403615761271
4	40134	45452	0.7686341726706071
5	45452	46864	0.6408102765299856
6	46864	53008	0.6007837008557129
7	53008	55482	0.6376094771906449
8	55482	57368	0.6224050852019404
9	57368	63350	0.5945132663232914
10	63350	64888	0.699904276635237
11	64888	69236	0.5364984975393197
12	69236	73064	0.602605570156863
13	73064	73090	0.3236191015772593
14	73090	77694	0.6177599970123222
15	77694	87954	0.7529709250035088
16	87954	88512	0.6227111488454621
17	88512	100486	0.6924882616743901
18	100486	100578	0.6667754554767485
19	100578	117288	0.7504321491553778
20	117288	118832	0.6725168743578191
21	118832	118932	0.8705637038047389
22	118932	123544	0.6885663343311431
23	123544	123546	0.25
24	123546	123764	0.6334354950272194
25	123764	142202	0.5722616590136151
26	142202	142576	0.6310600328567231
27	142576	151164	0.6486957160315655
28	151164	151296	0.5727825787892934
29	151296	152760	0.6519453368456778
30	152760	156938	0.5581677209905974
31	156938	159716	0.6778910449291615
32	159716	164490	0.7297590626755757
33	164490	167046	0.7028930846839118
34	167046	167060	0.6612708719851577
35	167060	175562	0.6735437326588758
final AUPRC	0.6720016138350601
