0	0	3650	0.7038227671451356
1	3650	7178	0.817259783732087
2	7178	7312	0.6758743595455557
3	7312	10215	0.781284589520289
4	10215	11625	0.7741019063427393
5	11625	13579	0.6154260373440723
6	13579	13669	0.8785185185185185
7	13669	13696	0.7032967032967032
8	13696	17575	0.9080956279940238
9	17575	20543	0.9258664414429755
10	20543	23824	0.8421325055606379
11	23824	27168	0.8465271008647596
12	27168	30333	0.8986693319426619
13	30333	32660	0.8883946973021128
14	32660	34152	0.9118101039504776
15	34152	38003	0.8328100767353104
16	38003	42415	0.7580782441355941
17	42415	44735	0.7953396254458978
final AUROC	0.8103280098811714
