0	0	10831	0.7785553539364727
1	10831	28543	0.9604442246579417
2	28543	28551	0.6422619047619047
3	28551	31217	0.7466152370240905
4	31217	34118	0.6794947559374254
5	34118	49395	0.9527192794770191
6	49395	50731	0.6925546727319618
7	50731	66206	0.9483831129444298
8	66206	74712	0.7485345108022324
9	74712	92732	0.9036332866487399
10	92732	93360	0.7029564881327252
11	93360	98295	0.5339633685114757
12	98295	114422	0.9534051991790843
13	114422	114480	0.6303027503134384
14	114480	119992	0.6928093183322919
15	119992	135419	0.8021761428222274
16	135419	138042	0.6670135309011669
17	138042	150541	0.7403534874552604
final AUPRC	0.8248598223573876
