0	0	3650	0.7044845050056686
1	3650	7178	0.8158492989032348
2	7178	7312	0.6896858988638895
3	7312	10215	0.7781400876758312
4	10215	11625	0.7747799406468487
5	11625	13579	0.616228527367948
6	13579	13669	0.8622222222222222
7	13669	13696	0.7142857142857143
8	13696	17575	0.9099926628137579
9	17575	20543	0.9185325949992168
10	20543	23824	0.8392899476003237
11	23824	27168	0.8469391806694507
12	27168	30333	0.9125677932329355
13	30333	32660	0.8860559670125268
14	32660	34152	0.9129313675282786
15	34152	38003	0.8391231406184678
16	38003	42415	0.74228372514993
17	42415	44735	0.764240859096314
final AUROC	0.8015776154967854
