0	0	3652	0.6394844808911031
1	3652	7180	0.7818105347834972
2	7180	7314	0.6266201655797716
3	7314	10217	0.7218623425384387
4	10217	11629	0.7145063326339458
5	11629	13584	0.5666533556772214
6	13584	13674	0.7828244705173911
7	13674	13701	0.6498278341092105
8	13701	17582	0.9056630268825624
9	17582	20549	0.9185083403553864
10	20549	23833	0.7953985704359363
11	23833	27177	0.8081789670297198
12	27177	30342	0.9102969974649108
13	30342	32669	0.9310762410834372
14	32669	34160	0.9417420893168401
15	34160	38009	0.7934535298029315
16	38009	42418	0.7474959969276311
17	42418	44738	0.752834342217766
final AUPRC	0.7457800643159966
