0	0	3652	0.5879796891079636
1	3652	7179	0.6804551846249887
2	7179	7313	0.6445770979936976
3	7313	10215	0.6272664932433857
4	10215	11626	0.6125423351735304
5	11626	13581	0.5297103317881875
6	13581	13671	0.7292189768923455
7	13671	13698	0.4415603985114583
8	13698	17579	0.7638364175206216
9	17579	20547	0.7686560495282554
10	20547	23830	0.697639716567668
11	23830	27175	0.7040483313106929
12	27175	30343	0.7686688439381661
13	30343	32670	0.7753170482316947
14	32670	34161	0.7656663257014547
15	34161	38011	0.6683830503155002
16	38011	42421	0.6432049880129557
17	42421	44741	0.6604758488386957
final AUPRC	0.6524376523183664
