taf1,msx2,7.936512470245361
taf1,lgals1,7.810456275939941
taf1,pusl1,7.698974609375
taf1,crybb2p1,7.660037517547607
taf1,nrd1,7.5563507080078125
taf1,rragc,7.532020092010498
taf1,srpr,7.463825702667236
taf1,ftsj2,7.224385738372803
taf1,atp5ep2,7.19380521774292
taf1,lrrc27,7.135136604309082
taf1,rai1,6.959862232208252
taf1,wrap73,6.673156261444092
taf1,znf385a,6.649509906768799
taf1,slc26a11,6.608608722686768
taf1,tomm70a,6.585780620574951
taf1,slc36a1,6.433298587799072
taf1,nadsyn1,6.424901008605957
taf1,znf132,6.393060684204102
taf1,dnajc17,6.382331848144531
taf1,nsmf,6.307665824890137

tbp,rnf145,6.833620548248291
tbp,dctn6,6.430589199066162
tbp,cstf2t,6.289269924163818
tbp,timm9,6.265233516693115
tbp,mrpl4,6.099720478057861
tbp,dleu2,6.072062969207764
tbp,rnmt,6.00182580947876
tbp,mrps23,5.930147647857666
tbp,lztfl1,5.8910064697265625
tbp,fgf8,5.87155294418335
tbp,vps28,5.857217311859131
tbp,dusp10,5.847915172576904
tbp,aftph,5.842870235443115
tbp,kiaa0430,5.812215328216553
tbp,lysmd3,5.805119037628174
tbp,otud1,5.804935932159424
tbp,atp6v0b,5.713387966156006
tbp,tasp1,5.6983842849731445
tbp,lamtor3,5.692563533782959
tbp,incenp,5.690721035003662
