0	0	3652	0.7168707689465419
1	3652	7179	0.8167352212202711
2	7179	7313	0.742927155268434
3	7313	10215	0.7804988218396401
4	10215	11626	0.782984750768489
5	11626	13581	0.6268207630302688
6	13581	13671	0.7575308641975309
7	13671	13698	0.6978021978021979
8	13698	17579	0.9054767709279412
9	17579	20547	0.927318589355002
10	20547	23830	0.8427940094755211
11	23830	27175	0.8459304944438168
12	27175	30343	0.9104518359922392
13	30343	32670	0.906673137695516
14	32670	34161	0.9187721539485759
15	34161	38011	0.8390692528250969
16	38011	42421	0.7846331518245997
17	42421	44741	0.7910775862068965
final AUROC	0.8113528242434265
