0	0	5481	0.9062829357435073
1	5481	10773	0.9377899199103067
2	10773	10974	0.7271664067721098
3	10974	15330	0.924529510054915
4	15330	17448	0.6555822898224294
5	17448	20382	0.8694233452772627
6	20382	20517	0.46444444444444444
7	20517	20556	0.5486066323673161
8	20556	26379	0.9681809555411544
9	26379	30834	0.973894089159522
10	30834	35763	0.9451594778403009
11	35763	40770	0.5986445109503774
12	40770	45516	0.970879663318175
13	45516	48999	0.970847879965826
14	48999	51240	0.8891181183415607
15	51240	57018	0.6545422809610816
16	57018	63636	0.9269180840640597
17	63636	67116	0.35006583184700757
final AUROC	0.8417219629252358
