0	0	5481	0.6841607453588834
1	5481	10773	0.900904362122778
2	10773	10974	0.8687161208880969
3	10974	15330	0.8577392340222975
4	15330	17448	0.8818601455963879
5	17448	20382	0.8274054884292793
6	20382	20517	0.8753909465020576
7	20517	20556	0.8339969875012608
8	20556	26379	0.9462354898134842
9	26379	30834	0.9295303181081337
10	30834	35763	0.7871022049383184
11	35763	40770	0.7472290631515864
12	40770	45516	0.8647429083404387
13	45516	48999	0.49080976059392417
14	48999	51240	0.8246659172098298
15	51240	57018	0.870946187369813
16	57018	63636	0.851752513840505
17	63636	67116	0.5292018430439952
final AUROC	0.7856920346917007
