0	0	3650	0.6328680516120547
1	3650	7178	0.7780086197335425
2	7178	7312	0.7301837274834462
3	7312	10215	0.7221204555162386
4	10215	11625	0.7189924506098249
5	11625	13579	0.566271151698353
6	13579	13669	0.8276838815170535
7	13669	13696	0.6640753870467855
8	13696	17575	0.9067444770598396
9	17575	20543	0.9020596833238446
10	20543	23824	0.8057338549190444
11	23824	27168	0.8203556738500098
12	27168	30333	0.920360446666494
13	30333	32660	0.9145048992336391
14	32660	34152	0.9131089402091391
15	34152	38003	0.8173696879747483
16	38003	42415	0.736954185117453
17	42415	44735	0.7783164554460431
final AUPRC	0.7339274993419285
